Olympian_Number,Country,Year,Bucket Pong,First-N-Ten,Flimsee,Kubb,Ramp Shot,Molkky,Corn Hole,Ladder Golf,Putter Ball,Croquet,Chess Clock Jenga,Rollors,Jenga,Glow Bocce,Disc Golf,Marksmanship,Heptathalon,Final Standing,All Total,All Count
1,Vatican City-Javatican,2022,0,0,10,0,10,10,10,10,10,,,,,,,,15,1,75,10
3,USA,2022,10,10,10,0,10,0,10,10,10,,,,,,,,15,3,85,10
4,USA,2022,10,10,10,0,10,0,10,10,10,,,,,,,,15,3,85,10
6,Netherlands,2022,5,10,10,10,0,10,10,10,10,,,,,,,,15,4,90,10
18,Vatican City-Javatican,2022,0,0,10,0,10,10,10,10,10,,,,,,,,15,1,75,10
21,Mexico,2022,0,10,10,10,10,0,0,0,0,,,,,,,,15,7,55,10
22,Mexico,2022,0,10,10,10,10,0,0,0,0,,,,,,,,15,7,55,10
23,Japan,2022,0,0,0,0,10,10,10,10,10,,,,,,,,15,5,65,10
24,Japan,2022,0,0,0,0,10,10,10,10,10,,,,,,,,15,5,65,10
25,Canada,2022,0,10,0,10,0,0,10,10,10,,,,,,,,0,10,50,10
26,Scotland,2022,10,0,10,0,0,0,0,10,0,,,,,,,,0,15,30,10
28,Canada,2022,0,10,0,10,0,0,10,10,10,,,,,,,,0,10,50,10
30,Germany,2022,10,10,10,0,0,0,0,0,0,,,,,,,,15,11,45,10
31,Germany,2022,10,10,10,0,0,0,0,0,0,,,,,,,,15,11,45,10
32,New Zealand,2022,10,0,0,10,0,10,0,10,0,,,,,,,,0,12,40,10
33,New Zealand,2022,10,0,0,10,0,10,0,10,0,,,,,,,,0,12,40,10
34,Austria,2022,5,0,0,10,10,10,0,10,10,,,,,,,,0,7,55,10
35,Austria,2022,5,0,0,10,10,10,0,10,10,,,,,,,,0,7,55,10
36,Thailand,2022,5,10,0,10,10,0,0,0,10,,,,,,,,15,6,60,10
38,Russian Olympic Committee,2022,10,10,10,10,10,10,5,10,0,,,,,,,,15,2,90,10
39,Russian Olympic Committee,2022,10,10,10,10,10,10,5,10,0,,,,,,,,15,2,90,10
40,Jamaica,2022,10,0,10,10,0,0,5,0,0,,,,,,,,0,14,35,10
41,Jamaica,2022,10,0,10,10,0,0,5,0,0,,,,,,,,0,14,35,10
52,India,2022,0,10,0,0,10,10,0,0,0,,,,,,,,0,15,30,10
61,Lithuania,2022,5,0,5,0,0,10,0,0,0,,,,,,,,0,17,20,10
62,Lithuania,2022,5,0,5,0,0,10,0,0,0,,,,,,,,0,17,20,10
